reviewer_id,audit_case_id,domain,present_0_1,evidence_quote,uncertainty_note
reviewer_a,DP-AUDIT-001,anhedonia_interest,,,
reviewer_a,DP-AUDIT-001,appetite_weight,,,
reviewer_a,DP-AUDIT-001,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-001,depressed_mood,,,
reviewer_a,DP-AUDIT-001,functioning_impairment,,,
reviewer_a,DP-AUDIT-001,mental_health_history,,,
reviewer_a,DP-AUDIT-001,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-001,self_worth_guilt,,,
reviewer_a,DP-AUDIT-001,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-001,suicide_self_harm,,,
reviewer_a,DP-AUDIT-002,anhedonia_interest,,,
reviewer_a,DP-AUDIT-002,appetite_weight,,,
reviewer_a,DP-AUDIT-002,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-002,depressed_mood,,,
reviewer_a,DP-AUDIT-002,functioning_impairment,,,
reviewer_a,DP-AUDIT-002,mental_health_history,,,
reviewer_a,DP-AUDIT-002,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-002,self_worth_guilt,,,
reviewer_a,DP-AUDIT-002,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-002,suicide_self_harm,,,
reviewer_a,DP-AUDIT-003,anhedonia_interest,,,
reviewer_a,DP-AUDIT-003,appetite_weight,,,
reviewer_a,DP-AUDIT-003,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-003,depressed_mood,,,
reviewer_a,DP-AUDIT-003,functioning_impairment,,,
reviewer_a,DP-AUDIT-003,mental_health_history,,,
reviewer_a,DP-AUDIT-003,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-003,self_worth_guilt,,,
reviewer_a,DP-AUDIT-003,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-003,suicide_self_harm,,,
reviewer_a,DP-AUDIT-004,anhedonia_interest,,,
reviewer_a,DP-AUDIT-004,appetite_weight,,,
reviewer_a,DP-AUDIT-004,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-004,depressed_mood,,,
reviewer_a,DP-AUDIT-004,functioning_impairment,,,
reviewer_a,DP-AUDIT-004,mental_health_history,,,
reviewer_a,DP-AUDIT-004,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-004,self_worth_guilt,,,
reviewer_a,DP-AUDIT-004,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-004,suicide_self_harm,,,
reviewer_a,DP-AUDIT-005,anhedonia_interest,,,
reviewer_a,DP-AUDIT-005,appetite_weight,,,
reviewer_a,DP-AUDIT-005,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-005,depressed_mood,,,
reviewer_a,DP-AUDIT-005,functioning_impairment,,,
reviewer_a,DP-AUDIT-005,mental_health_history,,,
reviewer_a,DP-AUDIT-005,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-005,self_worth_guilt,,,
reviewer_a,DP-AUDIT-005,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-005,suicide_self_harm,,,
reviewer_a,DP-AUDIT-006,anhedonia_interest,,,
reviewer_a,DP-AUDIT-006,appetite_weight,,,
reviewer_a,DP-AUDIT-006,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-006,depressed_mood,,,
reviewer_a,DP-AUDIT-006,functioning_impairment,,,
reviewer_a,DP-AUDIT-006,mental_health_history,,,
reviewer_a,DP-AUDIT-006,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-006,self_worth_guilt,,,
reviewer_a,DP-AUDIT-006,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-006,suicide_self_harm,,,
reviewer_a,DP-AUDIT-007,anhedonia_interest,,,
reviewer_a,DP-AUDIT-007,appetite_weight,,,
reviewer_a,DP-AUDIT-007,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-007,depressed_mood,,,
reviewer_a,DP-AUDIT-007,functioning_impairment,,,
reviewer_a,DP-AUDIT-007,mental_health_history,,,
reviewer_a,DP-AUDIT-007,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-007,self_worth_guilt,,,
reviewer_a,DP-AUDIT-007,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-007,suicide_self_harm,,,
reviewer_a,DP-AUDIT-008,anhedonia_interest,,,
reviewer_a,DP-AUDIT-008,appetite_weight,,,
reviewer_a,DP-AUDIT-008,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-008,depressed_mood,,,
reviewer_a,DP-AUDIT-008,functioning_impairment,,,
reviewer_a,DP-AUDIT-008,mental_health_history,,,
reviewer_a,DP-AUDIT-008,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-008,self_worth_guilt,,,
reviewer_a,DP-AUDIT-008,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-008,suicide_self_harm,,,
reviewer_a,DP-AUDIT-009,anhedonia_interest,,,
reviewer_a,DP-AUDIT-009,appetite_weight,,,
reviewer_a,DP-AUDIT-009,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-009,depressed_mood,,,
reviewer_a,DP-AUDIT-009,functioning_impairment,,,
reviewer_a,DP-AUDIT-009,mental_health_history,,,
reviewer_a,DP-AUDIT-009,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-009,self_worth_guilt,,,
reviewer_a,DP-AUDIT-009,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-009,suicide_self_harm,,,
reviewer_a,DP-AUDIT-010,anhedonia_interest,,,
reviewer_a,DP-AUDIT-010,appetite_weight,,,
reviewer_a,DP-AUDIT-010,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-010,depressed_mood,,,
reviewer_a,DP-AUDIT-010,functioning_impairment,,,
reviewer_a,DP-AUDIT-010,mental_health_history,,,
reviewer_a,DP-AUDIT-010,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-010,self_worth_guilt,,,
reviewer_a,DP-AUDIT-010,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-010,suicide_self_harm,,,
reviewer_a,DP-AUDIT-011,anhedonia_interest,,,
reviewer_a,DP-AUDIT-011,appetite_weight,,,
reviewer_a,DP-AUDIT-011,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-011,depressed_mood,,,
reviewer_a,DP-AUDIT-011,functioning_impairment,,,
reviewer_a,DP-AUDIT-011,mental_health_history,,,
reviewer_a,DP-AUDIT-011,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-011,self_worth_guilt,,,
reviewer_a,DP-AUDIT-011,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-011,suicide_self_harm,,,
reviewer_a,DP-AUDIT-012,anhedonia_interest,,,
reviewer_a,DP-AUDIT-012,appetite_weight,,,
reviewer_a,DP-AUDIT-012,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-012,depressed_mood,,,
reviewer_a,DP-AUDIT-012,functioning_impairment,,,
reviewer_a,DP-AUDIT-012,mental_health_history,,,
reviewer_a,DP-AUDIT-012,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-012,self_worth_guilt,,,
reviewer_a,DP-AUDIT-012,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-012,suicide_self_harm,,,
reviewer_a,DP-AUDIT-013,anhedonia_interest,,,
reviewer_a,DP-AUDIT-013,appetite_weight,,,
reviewer_a,DP-AUDIT-013,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-013,depressed_mood,,,
reviewer_a,DP-AUDIT-013,functioning_impairment,,,
reviewer_a,DP-AUDIT-013,mental_health_history,,,
reviewer_a,DP-AUDIT-013,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-013,self_worth_guilt,,,
reviewer_a,DP-AUDIT-013,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-013,suicide_self_harm,,,
reviewer_a,DP-AUDIT-014,anhedonia_interest,,,
reviewer_a,DP-AUDIT-014,appetite_weight,,,
reviewer_a,DP-AUDIT-014,concentration_psychomotor,,,
reviewer_a,DP-AUDIT-014,depressed_mood,,,
reviewer_a,DP-AUDIT-014,functioning_impairment,,,
reviewer_a,DP-AUDIT-014,mental_health_history,,,
reviewer_a,DP-AUDIT-014,protective_or_absent_symptom,,,
reviewer_a,DP-AUDIT-014,self_worth_guilt,,,
reviewer_a,DP-AUDIT-014,sleep_fatigue_energy,,,
reviewer_a,DP-AUDIT-014,suicide_self_harm,,,
reviewer_a,DP-AUDIT-015,anhedonia_interest,,,
