pid,basename,source_kind,source_path,member_name,source_size,category,edaic_path_same_windows_name,edaic_size_same_windows_name
300,300_AUDIO.wav,zip,F:\300_P.zip,300_AUDIO.wav,20752044,duplicate_same_name_size,F:\数据库\E-daic\data\data\300_P.tar\300_P\300_AUDIO.wav,20752044
300,300_CLNF_AUs.txt,zip,F:\300_P.zip,300_CLNF_AUs.txt,2176735,daic_only_optional_feature,,
300,300_CLNF_features.txt,zip,F:\300_P.zip,300_CLNF_features.txt,24056650,daic_only_optional_feature,,
300,300_CLNF_features3D.txt,zip,F:\300_P.zip,300_CLNF_features3D.txt,36480587,daic_only_optional_feature,,
300,300_CLNF_gaze.txt,zip,F:\300_P.zip,300_CLNF_gaze.txt,2986667,daic_only_optional_feature,,
300,300_CLNF_hog.txt,zip,F:\300_P.zip,300_CLNF_hog.txt,347753376,daic_only_optional_feature,,
300,300_CLNF_pose.txt,zip,F:\300_P.zip,300_CLNF_pose.txt,1676257,daic_only_optional_feature,,
300,300_COVAREP.csv,zip,F:\300_P.zip,300_COVAREP.csv,36816180,daic_only_optional_feature,,
300,300_FORMANT.csv,zip,F:\300_P.zip,300_FORMANT.csv,2149725,daic_only_optional_feature,,
300,300_TRANSCRIPT.csv,zip,F:\300_P.zip,300_TRANSCRIPT.csv,8655,name_conflict_different_size,F:\数据库\E-daic\data\data\300_P.tar\300_P\300_Transcript.csv,4106
301,301_AUDIO.wav,zip,F:\301_P.zip,301_AUDIO.wav,26364844,duplicate_same_name_size,F:\数据库\E-daic\data\data\301_P.tar\301_P\301_AUDIO.wav,26364844
301,301_CLNF_AUs.txt,zip,F:\301_P.zip,301_CLNF_AUs.txt,2413913,daic_only_optional_feature,,
301,301_CLNF_features.txt,zip,F:\301_P.zip,301_CLNF_features.txt,30567286,daic_only_optional_feature,,
301,301_CLNF_features3D.txt,zip,F:\301_P.zip,301_CLNF_features3D.txt,46569614,daic_only_optional_feature,,
301,301_CLNF_gaze.txt,zip,F:\301_P.zip,301_CLNF_gaze.txt,3787977,daic_only_optional_feature,,
301,301_CLNF_hog.bin,zip,F:\301_P.zip,301_CLNF_hog.bin,441813712,daic_only_optional_feature,,
301,301_CLNF_pose.txt,zip,F:\301_P.zip,301_CLNF_pose.txt,2173982,daic_only_optional_feature,,
301,301_COVAREP.csv,zip,F:\301_P.zip,301_COVAREP.csv,47467790,daic_only_optional_feature,,
301,301_FORMANT.csv,zip,F:\301_P.zip,301_FORMANT.csv,2727255,daic_only_optional_feature,,
301,301_TRANSCRIPT.csv,zip,F:\301_P.zip,301_TRANSCRIPT.csv,13990,name_conflict_different_size,F:\数据库\E-daic\data\data\301_P.tar\301_P\301_Transcript.csv,9247
302,302_AUDIO.wav,zip,F:\302_P.zip,302_AUDIO.wav,24281644,duplicate_same_name_size,F:\数据库\E-daic\data\data\302_P.tar\302_P\302_AUDIO.wav,24281644
302,302_CLNF_AUs.txt,zip,F:\302_P.zip,302_CLNF_AUs.txt,3702240,daic_only_optional_feature,,
302,302_CLNF_features.txt,zip,F:\302_P.zip,302_CLNF_features.txt,38355288,daic_only_optional_feature,,
302,302_CLNF_features3D.txt,zip,F:\302_P.zip,302_CLNF_features3D.txt,58523561,daic_only_optional_feature,,
302,302_CLNF_gaze.txt,zip,F:\302_P.zip,302_CLNF_gaze.txt,4695249,daic_only_optional_feature,,
302,302_CLNF_hog.bin,zip,F:\302_P.zip,302_CLNF_hog.bin,554246464,daic_only_optional_feature,,
302,302_CLNF_pose.txt,zip,F:\302_P.zip,302_CLNF_pose.txt,2688657,daic_only_optional_feature,,
302,302_COVAREP.csv,zip,F:\302_P.zip,302_COVAREP.csv,43919620,daic_only_optional_feature,,
302,302_FORMANT.csv,zip,F:\302_P.zip,302_FORMANT.csv,2515170,daic_only_optional_feature,,
302,302_TRANSCRIPT.csv,zip,F:\302_P.zip,302_TRANSCRIPT.csv,9993,name_conflict_different_size,F:\数据库\E-daic\data\data\302_P.tar\302_P\302_Transcript.csv,6274
303,303_AUDIO.wav,zip,F:\303_P.zip,303_AUDIO.wav,31529644,duplicate_same_name_size,F:\数据库\E-daic\data\data\303_P.tar\303_P\303_AUDIO.wav,31529644
303,303_CLNF_AUs.txt,zip,F:\303_P.zip,303_CLNF_AUs.txt,3669964,daic_only_optional_feature,,
303,303_CLNF_features.txt,zip,F:\303_P.zip,303_CLNF_features.txt,36559504,daic_only_optional_feature,,
303,303_CLNF_features3D.txt,zip,F:\303_P.zip,303_CLNF_features3D.txt,55220313,daic_only_optional_feature,,
303,303_CLNF_gaze.txt,zip,F:\303_P.zip,303_CLNF_gaze.txt,4644232,daic_only_optional_feature,,
303,303_CLNF_hog.bin,zip,F:\303_P.zip,303_CLNF_hog.bin,528385680,daic_only_optional_feature,,
303,303_CLNF_pose.txt,zip,F:\303_P.zip,303_CLNF_pose.txt,2613690,daic_only_optional_feature,,
303,303_COVAREP.csv,zip,F:\303_P.zip,303_COVAREP.csv,54821421,daic_only_optional_feature,,
303,303_FORMANT.csv,zip,F:\303_P.zip,303_FORMANT.csv,3260050,daic_only_optional_feature,,
303,303_TRANSCRIPT.csv,zip,F:\303_P.zip,303_TRANSCRIPT.csv,17049,name_conflict_different_size,F:\数据库\E-daic\data\data\303_P.tar\303_P\303_Transcript.csv,12424
304,304_AUDIO.wav,zip,F:\304_P.zip,304_AUDIO.wav,25363244,duplicate_same_name_size,F:\数据库\E-daic\data\data\304_P.tar\304_P\304_AUDIO.wav,25363244
304,304_CLNF_AUs.txt,zip,F:\304_P.zip,304_CLNF_AUs.txt,2891543,daic_only_optional_feature,,
304,304_CLNF_features.txt,zip,F:\304_P.zip,304_CLNF_features.txt,29402699,daic_only_optional_feature,,
304,304_CLNF_features3D.txt,zip,F:\304_P.zip,304_CLNF_features3D.txt,44097347,daic_only_optional_feature,,
304,304_CLNF_gaze.txt,zip,F:\304_P.zip,304_CLNF_gaze.txt,3498785,daic_only_optional_feature,,
304,304_CLNF_hog.bin,zip,F:\304_P.zip,304_CLNF_hog.bin,424996160,daic_only_optional_feature,,
304,304_CLNF_pose.txt,zip,F:\304_P.zip,304_CLNF_pose.txt,2075493,daic_only_optional_feature,,
304,304_COVAREP.csv,zip,F:\304_P.zip,304_COVAREP.csv,44271241,daic_only_optional_feature,,
304,304_FORMANT.csv,zip,F:\304_P.zip,304_FORMANT.csv,2621274,daic_only_optional_feature,,
304,304_TRANSCRIPT.csv,zip,F:\304_P.zip,304_TRANSCRIPT.csv,12476,name_conflict_different_size,F:\数据库\E-daic\data\data\304_P.tar\304_P\304_Transcript.csv,7535
305,305_AUDIO.wav,zip,F:\305_P.zip,305_AUDIO.wav,54528044,duplicate_same_name_size,F:\数据库\E-daic\data\data\305_P.tar\305_P\305_AUDIO.wav,54528044
305,305_CLNF_AUs.txt,zip,F:\305_P.zip,305_CLNF_AUs.txt,5925402,daic_only_optional_feature,,
305,305_CLNF_features.txt,zip,F:\305_P.zip,305_CLNF_features.txt,63230738,daic_only_optional_feature,,
305,305_CLNF_features3D.txt,zip,F:\305_P.zip,305_CLNF_features3D.txt,96673275,daic_only_optional_feature,,
305,305_CLNF_gaze.txt,zip,F:\305_P.zip,305_CLNF_gaze.txt,7922174,daic_only_optional_feature,,
305,305_CLNF_hog.bin,zip,F:\305_P.zip,305_CLNF_hog.bin,913652384,daic_only_optional_feature,,
305,305_CLNF_pose.txt,zip,F:\305_P.zip,305_CLNF_pose.txt,4531302,daic_only_optional_feature,,
305,305_COVAREP.csv,zip,F:\305_P.zip,305_COVAREP.csv,99512107,daic_only_optional_feature,,
305,305_FORMANT.csv,zip,F:\305_P.zip,305_FORMANT.csv,5636092,daic_only_optional_feature,,
305,305_TRANSCRIPT.csv,zip,F:\305_P.zip,305_TRANSCRIPT.csv,29769,name_conflict_different_size,F:\数据库\E-daic\data\data\305_P.tar\305_P\305_Transcript.csv,21867
306,306_AUDIO.wav,zip,F:\306_P.zip,306_AUDIO.wav,27459244,duplicate_same_name_size,F:\数据库\E-daic\data\data\306_P.tar\306_P\306_AUDIO.wav,27459244
306,306_CLNF_AUs.txt,zip,F:\306_P.zip,306_CLNF_AUs.txt,3091823,daic_only_optional_feature,,
306,306_CLNF_features.txt,zip,F:\306_P.zip,306_CLNF_features.txt,31832156,daic_only_optional_feature,,
306,306_CLNF_features3D.txt,zip,F:\306_P.zip,306_CLNF_features3D.txt,48087831,daic_only_optional_feature,,
306,306_CLNF_gaze.txt,zip,F:\306_P.zip,306_CLNF_gaze.txt,4116419,daic_only_optional_feature,,
306,306_CLNF_hog.bin,zip,F:\306_P.zip,306_CLNF_hog.bin,460096768,daic_only_optional_feature,,
306,306_CLNF_pose.txt,zip,F:\306_P.zip,306_CLNF_pose.txt,2269953,daic_only_optional_feature,,
306,306_COVAREP.csv,zip,F:\306_P.zip,306_COVAREP.csv,47904077,daic_only_optional_feature,,
306,306_FORMANT.csv,zip,F:\306_P.zip,306_FORMANT.csv,2799118,daic_only_optional_feature,,
306,306_TRANSCRIPT.csv,zip,F:\306_P.zip,306_TRANSCRIPT.csv,16200,name_conflict_different_size,F:\数据库\E-daic\data\data\306_P.tar\306_P\306_Transcript.csv,11720
307,307_AUDIO.wav,zip,F:\307_P.zip,307_AUDIO.wav,39641644,duplicate_same_name_size,F:\数据库\E-daic\data\data\307_P.tar\307_P\307_AUDIO.wav,39641644
307,307_CLNF_AUs.txt,zip,F:\307_P.zip,307_CLNF_AUs.txt,4623553,daic_only_optional_feature,,
307,307_CLNF_features.txt,zip,F:\307_P.zip,307_CLNF_features.txt,45963170,daic_only_optional_feature,,
307,307_CLNF_features3D.txt,zip,F:\307_P.zip,307_CLNF_features3D.txt,70014373,daic_only_optional_feature,,
307,307_CLNF_gaze.txt,zip,F:\307_P.zip,307_CLNF_gaze.txt,5718877,daic_only_optional_feature,,
307,307_CLNF_hog.bin,zip,F:\307_P.zip,307_CLNF_hog.bin,664248624,daic_only_optional_feature,,
307,307_CLNF_pose.txt,zip,F:\307_P.zip,307_CLNF_pose.txt,3251223,daic_only_optional_feature,,
307,307_COVAREP.csv,zip,F:\307_P.zip,307_COVAREP.csv,69514752,daic_only_optional_feature,,
307,307_FORMANT.csv,zip,F:\307_P.zip,307_FORMANT.csv,4087692,daic_only_optional_feature,,
307,307_TRANSCRIPT.csv,zip,F:\307_P.zip,307_TRANSCRIPT.csv,22763,name_conflict_different_size,F:\数据库\E-daic\data\data\307_P.tar\307_P\307_Transcript.csv,16415
308,308_AUDIO.wav,zip,F:\308_P.zip,308_AUDIO.wav,27763244,duplicate_same_name_size,F:\数据库\E-daic\data\data\308_P.tar\308_P\308_AUDIO.wav,27763244
308,308_CLNF_AUs.txt,zip,F:\308_P.zip,308_CLNF_AUs.txt,3043368,daic_only_optional_feature,,
308,308_CLNF_features.txt,zip,F:\308_P.zip,308_CLNF_features.txt,32168192,daic_only_optional_feature,,
308,308_CLNF_features3D.txt,zip,F:\308_P.zip,308_CLNF_features3D.txt,49038374,daic_only_optional_feature,,
308,308_CLNF_gaze.txt,zip,F:\308_P.zip,308_CLNF_gaze.txt,3920674,daic_only_optional_feature,,
308,308_CLNF_hog.bin,zip,F:\308_P.zip,308_CLNF_hog.bin,465226032,daic_only_optional_feature,,
308,308_CLNF_pose.txt,zip,F:\308_P.zip,308_CLNF_pose.txt,2248760,daic_only_optional_feature,,
308,308_COVAREP.csv,zip,F:\308_P.zip,308_COVAREP.csv,49125611,daic_only_optional_feature,,
308,308_FORMANT.csv,zip,F:\308_P.zip,308_FORMANT.csv,2872469,daic_only_optional_feature,,
308,308_TRANSCRIPT.csv,zip,F:\308_P.zip,308_TRANSCRIPT.csv,12456,name_conflict_different_size,F:\数据库\E-daic\data\data\308_P.tar\308_P\308_Transcript.csv,10223
309,309_AUDIO.wav,zip,F:\309_P.zip,309_AUDIO.wav,22585644,duplicate_same_name_size,F:\数据库\E-daic\data\data\309_P.tar\309_P\309_AUDIO.wav,22585644
309,309_CLNF_AUs.txt,zip,F:\309_P.zip,309_CLNF_AUs.txt,2426089,daic_only_optional_feature,,
309,309_CLNF_features.txt,zip,F:\309_P.zip,309_CLNF_features.txt,26446886,daic_only_optional_feature,,
