pid,chosen_kind,chosen_path,zip_candidates,folder_candidates
300,zip,F:\300_P.zip,F:\300_P.zip; F:\数据库DAIC-WOZ300_P.zip,
301,zip,F:\301_P.zip,F:\301_P.zip; F:\数据库DAIC-WOZ301_P.zip,
302,zip,F:\302_P.zip,F:\302_P.zip; F:\数据库DAIC-WOZ302_P.zip,
303,zip,F:\303_P.zip,F:\303_P.zip; F:\数据库DAIC-WOZ303_P.zip,
304,zip,F:\304_P.zip,F:\304_P.zip; F:\数据库DAIC-WOZ304_P.zip,
305,zip,F:\305_P.zip,F:\305_P.zip; F:\数据库DAIC-WOZ305_P.zip,
306,zip,F:\306_P.zip,F:\306_P.zip; F:\数据库DAIC-WOZ306_P.zip,
307,zip,F:\307_P.zip,F:\307_P.zip; F:\数据库DAIC-WOZ307_P.zip,
308,zip,F:\308_P.zip,F:\308_P.zip; F:\数据库DAIC-WOZ308_P.zip,
309,zip,F:\309_P.zip,F:\309_P.zip; F:\数据库DAIC-WOZ309_P.zip,
310,zip,F:\310_P.zip,F:\310_P.zip; F:\数据库DAIC-WOZ310_P.zip,
311,zip,F:\311_P.zip,F:\311_P.zip; F:\数据库DAIC-WOZ311_P.zip,
312,zip,F:\312_P.zip,F:\312_P.zip; F:\数据库DAIC-WOZ312_P.zip,
313,zip,F:\313_P.zip,F:\313_P.zip; F:\数据库DAIC-WOZ313_P.zip,
314,zip,F:\314_P.zip,F:\314_P.zip; F:\数据库DAIC-WOZ314_P.zip,
315,zip,F:\315_P.zip,F:\315_P.zip; F:\数据库DAIC-WOZ315_P.zip,
316,zip,F:\316_P.zip,F:\316_P.zip; F:\数据库DAIC-WOZ316_P.zip,
317,zip,F:\317_P.zip,F:\317_P.zip; F:\数据库DAIC-WOZ317_P.zip,F:\317_P
318,zip,F:\318_P.zip,F:\318_P.zip,
319,zip,F:\319_P.zip,F:\319_P.zip,
320,zip,F:\320_P.zip,F:\320_P.zip,
321,zip,F:\321_P.zip,F:\321_P.zip,
322,zip,F:\322_P.zip,F:\322_P.zip,
323,zip,F:\323_P.zip,F:\323_P.zip,
324,zip,F:\324_P.zip,F:\324_P.zip,
325,zip,F:\325_P.zip,F:\325_P.zip,
326,zip,F:\326_P.zip,F:\326_P.zip,
327,zip,F:\327_P.zip,F:\327_P.zip,
328,zip,F:\328_P.zip,F:\328_P.zip,
329,zip,F:\329_P.zip,F:\329_P.zip,
330,zip,F:\330_P.zip,F:\330_P.zip,
331,zip,F:\331_P.zip,F:\331_P.zip,
332,zip,F:\332_P.zip,F:\332_P.zip,
333,zip,F:\333_P.zip,F:\333_P.zip,
334,zip,F:\334_P.zip,F:\334_P.zip,
335,zip,F:\335_P.zip,F:\335_P.zip,
336,zip,F:\336_P.zip,F:\336_P.zip,
337,zip,F:\337_P.zip,F:\337_P.zip,
338,zip,F:\338_P.zip,F:\338_P.zip,
339,zip,F:\339_P.zip,F:\339_P.zip,
340,zip,F:\340_P.zip,F:\340_P.zip,
341,zip,F:\341_P.zip,F:\341_P.zip,
343,zip,F:\343_P.zip,F:\343_P.zip,
344,zip,F:\344_P.zip,F:\344_P.zip,
345,zip,F:\345_P.zip,F:\345_P.zip,
346,zip,F:\346_P.zip,F:\346_P.zip,
347,zip,F:\347_P.zip,F:\347_P.zip,
348,zip,F:\348_P.zip,F:\348_P.zip,
349,zip,F:\349_P.zip,F:\349_P.zip,
350,zip,F:\350_P.zip,F:\350_P.zip,
351,zip,F:\351_P.zip,F:\351_P.zip,
352,zip,F:\352_P.zip,F:\352_P.zip,
353,zip,F:\353_P.zip,F:\353_P.zip,
354,zip,F:\354_P.zip,F:\354_P.zip,
355,zip,F:\355_P.zip,F:\355_P.zip,
356,zip,F:\356_P.zip,F:\356_P.zip,
357,zip,F:\357_P.zip,F:\357_P.zip,
358,zip,F:\358_P.zip,F:\358_P.zip,
359,zip,F:\359_P.zip,F:\359_P.zip,
360,zip,F:\360_P.zip,F:\360_P.zip,
361,zip,F:\361_P.zip,F:\361_P.zip,
362,zip,F:\362_P.zip,F:\362_P.zip,
363,zip,F:\363_P.zip,F:\363_P.zip,
364,zip,F:\364_P.zip,F:\364_P.zip,
365,zip,F:\365_P.zip,F:\365_P.zip,
366,zip,F:\366_P.zip,F:\366_P.zip,
367,zip,F:\367_P.zip,F:\367_P.zip,
368,zip,F:\368_P.zip,F:\368_P.zip,
369,zip,F:\369_P.zip,F:\369_P.zip,
370,zip,F:\370_P.zip,F:\370_P.zip,
371,zip,F:\371_P.zip,F:\371_P.zip,
372,zip,F:\372_P.zip,F:\372_P.zip,
373,zip,F:\373_P.zip,F:\373_P.zip,
374,zip,F:\374_P.zip,F:\374_P.zip,
375,zip,F:\375_P.zip,F:\375_P.zip,
376,zip,F:\376_P.zip,F:\376_P.zip,
377,zip,F:\377_P.zip,F:\377_P.zip,
378,zip,F:\378_P.zip,F:\378_P.zip,
379,zip,F:\379_P.zip,F:\379_P.zip,
380,zip,F:\380_P.zip,F:\380_P.zip,
381,zip,F:\381_P.zip,F:\381_P.zip,
382,zip,F:\382_P.zip,F:\382_P.zip,
383,zip,F:\383_P.zip,F:\383_P.zip,
384,zip,F:\384_P.zip,F:\384_P.zip,
385,zip,F:\385_P.zip,F:\385_P.zip,
386,zip,F:\386_P.zip,F:\386_P.zip,
387,zip,F:\387_P.zip,F:\387_P.zip,
388,zip,F:\388_P.zip,F:\388_P.zip,
389,zip,F:\389_P.zip,F:\389_P.zip,
390,zip,F:\390_P.zip,F:\390_P.zip,
391,zip,F:\391_P.zip,F:\391_P.zip,
392,zip,F:\392_P.zip,F:\392_P.zip,
393,zip,F:\393_P.zip,F:\393_P.zip,
395,zip,F:\395_P.zip,F:\395_P.zip,
396,zip,F:\396_P.zip,F:\396_P.zip,
397,zip,F:\397_P.zip,F:\397_P.zip,
399,zip,F:\399_P.zip,F:\399_P.zip,
400,zip,F:\400_P.zip,F:\400_P.zip,
401,zip,F:\401_P.zip,F:\401_P.zip,
402,zip,F:\402_P.zip,F:\402_P.zip,
