representation,condition,n,n_positive,n_negative,roc_auc,pr_auc,macro_f1_at_0_5,macro_f1_nested,sensitivity_at_0_5,sensitivity_nested,specificity_at_0_5,specificity_nested,raw_brier,raw_ece_5bin,raw_ece_effective_bins,raw_calibration_intercept,raw_calibration_slope,raw_sensitivity_at_0_5,raw_specificity_at_0_5,raw_macro_f1_at_0_5,platt_brier,platt_ece_5bin,platt_ece_effective_bins,platt_calibration_intercept,platt_calibration_slope,platt_sensitivity_at_0_5,platt_specificity_at_0_5,platt_macro_f1_at_0_5,isotonic_brier,isotonic_ece_5bin,isotonic_ece_effective_bins,isotonic_calibration_intercept,isotonic_calibration_slope,isotonic_sensitivity_at_0_5,isotonic_specificity_at_0_5,isotonic_macro_f1_at_0_5
tfidf,full_transcript,142,43,99,0.7432464176650224,0.5403219027692983,0.6580426057425132,0.6124756335282651,0.4651162790697674,0.5348837209302325,0.8383838383838383,0.7070707070707071,0.21869631003893,0.1764731034310016,5,-0.2153409963362212,4.524584005500269,0.4651162790697674,0.8383838383838383,0.6580426057425132,0.1773444591745472,0.0811340154158903,5,0.0153899276902397,1.0076559101514202,0.3255813953488372,0.9090909090909092,0.6249652488184598,0.1774737480994825,0.0844702071999049,5,-0.2522458484825253,0.6446549957477317,0.3720930232558139,0.8888888888888888,0.6397863818424566
tfidf,participant_speech,142,43,99,0.7051914493774959,0.5946102077240627,0.4586703858670386,0.6742332769862353,0.0465116279069767,0.5116279069767442,1.0,0.8282828282828283,0.2316193579501635,0.2286760397736811,5,0.9989658857746766,12.627996514151354,0.0465116279069767,1.0,0.4586703858670386,0.1889639902901876,0.0775731423619623,5,0.2481094894596001,1.2520456705715357,0.1395348837209302,0.98989898989899,0.5388034188034188,0.1796465572971762,0.0436806604750769,5,-0.4656666867869569,0.3885352457639607,0.2790697674418604,0.9595959595959596,0.6256120527306968
tfidf,interviewer_speech,142,43,99,0.8029128494244773,0.6633235107961816,0.7202049203400327,0.707379560011139,0.6744186046511628,0.6744186046511628,0.7878787878787878,0.7676767676767676,0.1970584659475208,0.1595129798451048,5,-0.6161482749483679,2.60897898391006,0.6744186046511628,0.7878787878787878,0.7202049203400327,0.1612205794191684,0.0490752814971895,5,-0.0509143703575805,0.9399980984368752,0.4883720930232558,0.8787878787878788,0.694585020242915,0.1690813650968286,0.0600286828961058,5,-0.330141699789491,0.4759216556685791,0.5348837209302325,0.8686868686868687,0.7106514356282803
tfidf,non_explicit_interviewer_speech,142,43,99,0.773784355179704,0.6166815383981026,0.7036178107606679,0.6977437207322265,0.6046511627906976,0.5348837209302325,0.8080808080808081,0.8484848484848485,0.2045920972596658,0.1570486199247008,5,-0.5999305652971421,2.5518092960473227,0.6046511627906976,0.8080808080808081,0.7036178107606679,0.1690565787113286,0.0354120031301533,5,0.0667776670172185,1.0796369335816174,0.4651162790697674,0.8787878787878788,0.6829346092503987,0.1697092115481897,0.0651093096246506,5,-0.3115170881976138,0.5202124683485679,0.4651162790697674,0.8585858585858586,0.6703682790639311
tfidf,participant_symptom_evidence,142,43,99,0.7535823349776837,0.5795551207889582,0.6818521284540702,0.7105978260869565,0.4883720930232558,0.6511627906976745,0.8585858585858586,0.7878787878787878,0.2247227131554195,0.1897566024751028,5,-0.3294976426922323,5.784594707493228,0.4883720930232558,0.8585858585858586,0.6818521284540702,0.1783476474730624,0.059691622367805,5,0.0741255356915717,1.1024866520761354,0.2558139534883721,0.9292929292929292,0.5928839226641183,0.1821107077090832,0.0602323661937284,5,-0.1924314267143287,0.7205491502764474,0.3023255813953488,0.9090909090909092,0.6109589041095891
model_1_all_mpnet_base_v2,full_transcript,142,43,99,0.8172421893352125,0.7045945747949061,0.7117521367521367,0.7588315217391304,0.7674418604651163,0.7209302325581395,0.7171717171717171,0.8181818181818182,0.1801317739970574,0.1449728710481698,5,-0.9472562599945564,0.7403350205587479,0.7674418604651163,0.7171717171717171,0.7117521367521367,0.1513233344999111,0.0516493811902771,5,0.2738222503244487,1.3342084115841983,0.3720930232558139,0.9494949494949496,0.6772727272727272,0.1500758818811444,0.0230594015507647,5,0.0344342509419695,1.0011200230250363,0.3953488372093023,0.9090909090909092,0.6649814627569937
model_1_all_mpnet_base_v2,participant_speech,142,43,99,0.7643880667136482,0.657642947903091,0.6501179554390564,0.6995270102066218,0.7209302325581395,0.5116279069767442,0.6464646464646465,0.8686868686868687,0.2065269119625843,0.187121177233456,5,-0.9732084425663012,0.8033678689416803,0.7209302325581395,0.6464646464646465,0.6501179554390564,0.1678859382504055,0.0546774523493498,5,0.0839240970036371,1.1102616371833731,0.3488372093023256,0.9393939393939394,0.6571022727272727,0.1633082116899429,0.0314821866203072,5,-0.1688640131952326,0.822566196514505,0.3720930232558139,0.9393939393939394,0.6708113804004214
model_1_all_mpnet_base_v2,interviewer_speech,142,43,99,0.7427766032417196,0.5740937140134065,0.6626009821004277,0.6390186225243866,0.7209302325581395,0.4883720930232558,0.6666666666666666,0.7878787878787878,0.2125360751164899,0.1494935452990915,5,-0.8495209150849731,0.6083326086682719,0.7209302325581395,0.6666666666666666,0.6626009821004277,0.1827149059754324,0.0554062959137771,5,0.2036807735497948,1.1951258504997877,0.2093023255813953,0.9696969696969696,0.5828503374354903,0.1875406222591319,0.0892277751549803,5,-0.1392521426696313,0.7515262382203401,0.2325581395348837,0.9090909090909092,0.5666957279860506
model_1_all_mpnet_base_v2,non_explicit_interviewer_speech,142,43,99,0.6356589147286822,0.4054437771341334,0.5869424692954105,0.5663612872915198,0.5581395348837209,0.3953488372093023,0.6464646464646465,0.7373737373737373,0.2459192481511913,0.1644641581209173,5,-0.788347395999138,0.3307637161507963,0.5581395348837209,0.6464646464646465,0.5869424692954105,0.2078276769006838,0.0805358469027388,5,-0.1417842093955389,0.801070730608332,0.0,0.98989898989899,0.4083333333333333,0.2055773658075484,0.0323173343866952,5,-0.2870773717532806,0.6180120771023211,0.0465116279069767,0.9797979797979798,0.4518358919113026
model_1_all_mpnet_base_v2,participant_symptom_evidence,142,43,99,0.7848249941273197,0.6065446271527016,0.6775964940070753,0.6972630365888792,0.7441860465116279,0.6046511627906976,0.6767676767676768,0.797979797979798,0.2040199645190475,0.180538531289521,5,-1.0192459957288111,0.7522912130602761,0.7441860465116279,0.6767676767676768,0.6775964940070753,0.1672454468175496,0.0495585711263213,5,0.0192501286355364,1.0380254001400484,0.4418604651162791,0.9090909090909092,0.6901408450704225,0.1708102438297869,0.0787025476496267,5,-0.1858051283872295,0.7533127123729373,0.5116279069767442,0.8787878787878788,0.7060041407867494
model_2_bge_large_en_v1_5,full_transcript,142,43,99,0.7965703547098896,0.657376683453833,0.6820288496589074,0.7457239888854585,0.7906976744186046,0.5813953488372093,0.6565656565656566,0.8888888888888888,0.1917785418240589,0.1779635978300585,5,-0.9957509648827962,0.8424356551222437,0.7906976744186046,0.6565656565656566,0.6820288496589074,0.1594017278603449,0.0566943244013042,5,0.190991886964304,1.2483446159056428,0.3953488372093023,0.9191919191919192,0.6712962962962963,0.1602777948458274,0.0512115693944549,5,-0.0630051933759979,0.9011266246941524,0.4651162790697674,0.9090909090909092,0.7023060796645703
model_2_bge_large_en_v1_5,participant_speech,142,43,99,0.7037820061075875,0.5384001563998432,0.5905635648754914,0.6437365073808274,0.627906976744186,0.5116279069767442,0.6060606060606061,0.7777777777777778,0.2306152539304655,0.1683660366753525,5,-0.8702461912729604,0.5355313754474311,0.627906976744186,0.6060606060606061,0.5905635648754914,0.1847439580431778,0.0424485892758787,5,0.0247058115423284,1.0334304683179896,0.2558139534883721,0.9393939393939394,0.5985119047619047,0.1893284653363505,0.0447073376087771,5,-0.3427273145091997,0.5961613237791803,0.2558139534883721,0.9292929292929292,0.5928839226641183
