url,status,content_length,content_type,error
https://dcapswoz.ict.usc.edu/wwwedaic/E-DAIC%20Manual.pdf,200,40775,application/pdf,
https://dcapswoz.ict.usc.edu/wwwedaic/labels2019.tar.gz,200,3271,application/x-gzip,
https://dcapswoz.ict.usc.edu/wwwedaic/robots.txt,200,26,text/plain,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/300_P.zip,200,343123649,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/301_P.zip,200,423065622,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/302_P.zip,200,488862236,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/303_P.zip,200,513799834,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/304_P.zip,200,395281886,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/305_P.zip,200,900889237,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/306_P.zip,200,436769227,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/307_P.zip,200,646371351,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/308_P.zip,200,446700563,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/309_P.zip,200,362548522,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/310_P.zip,200,426224885,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/311_P.zip,200,417901581,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/312_P.zip,200,412171104,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/313_P.zip,200,380052510,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/314_P.zip,200,801690724,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/315_P.zip,200,512206588,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/316_P.zip,200,452956146,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/317_P.zip,200,420465859,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/318_P.zip,200,301419193,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/319_P.zip,200,325498059,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/320_P.zip,200,426286831,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/321_P.zip,200,433095401,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/322_P.zip,200,534591787,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/323_P.zip,200,415725380,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/324_P.zip,200,366475671,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/325_P.zip,200,448842891,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/326_P.zip,200,350822840,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/327_P.zip,200,343082651,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/328_P.zip,200,552035498,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/329_P.zip,200,366799485,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/330_P.zip,200,381091699,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/331_P.zip,200,450485608,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/332_P.zip,200,457554174,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/333_P.zip,200,513447217,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/334_P.zip,200,505737212,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/335_P.zip,200,407973860,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/336_P.zip,200,475492256,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/337_P.zip,200,958826326,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/338_P.zip,200,306577284,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/339_P.zip,200,441604853,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/340_P.zip,200,304959924,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/341_P.zip,,,,"URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1010)'))"
https://dcapswoz.ict.usc.edu/wwwdaicwoz/343_P.zip,200,448673094,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/344_P.zip,200,477053552,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/345_P.zip,200,414569611,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/346_P.zip,200,599980803,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/347_P.zip,200,302979837,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/348_P.zip,200,343944595,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/349_P.zip,200,616739003,application/zip,
https://dcapswoz.ict.usc.edu/wwwdaicwoz/350_P.zip,200,465250837,application/zip,
