condition,draw_id,recipient_participant_id,donor_participant_id,donor_row_index,self_match,standardized_structural_distance
real,0,302,302,0,True,0.0
real,0,303,303,1,True,0.0
real,0,304,304,2,True,0.0
real,0,305,305,3,True,0.0
real,0,307,307,4,True,0.0
real,0,310,310,5,True,0.0
real,0,312,312,6,True,0.0
real,0,313,313,7,True,0.0
real,0,315,315,8,True,0.0
real,0,316,316,9,True,0.0
real,0,317,317,10,True,0.0
real,0,318,318,11,True,0.0
real,0,319,319,12,True,0.0
real,0,320,320,13,True,0.0
real,0,321,321,14,True,0.0
real,0,322,322,15,True,0.0
real,0,324,324,16,True,0.0
real,0,325,325,17,True,0.0
real,0,326,326,18,True,0.0
real,0,327,327,19,True,0.0
real,0,328,328,20,True,0.0
real,0,330,330,21,True,0.0
real,0,331,331,22,True,0.0
real,0,333,333,23,True,0.0
real,0,335,335,24,True,0.0
real,0,336,336,25,True,0.0
real,0,338,338,26,True,0.0
real,0,339,339,27,True,0.0
real,0,340,340,28,True,0.0
real,0,341,341,29,True,0.0
real,0,343,343,30,True,0.0
real,0,344,344,31,True,0.0
real,0,345,345,32,True,0.0
real,0,346,346,33,True,0.0
real,0,347,347,34,True,0.0
real,0,348,348,35,True,0.0
real,0,350,350,36,True,0.0
real,0,351,351,37,True,0.0
real,0,352,352,38,True,0.0
real,0,353,353,39,True,0.0
real,0,355,355,40,True,0.0
real,0,356,356,41,True,0.0
real,0,357,357,42,True,0.0
real,0,358,358,43,True,0.0
real,0,360,360,44,True,0.0
real,0,362,362,45,True,0.0
real,0,363,363,46,True,0.0
real,0,364,364,47,True,0.0
real,0,366,366,48,True,0.0
real,0,367,367,49,True,0.0
real,0,368,368,50,True,0.0
real,0,369,369,51,True,0.0
real,0,370,370,52,True,0.0
real,0,371,371,53,True,0.0
real,0,372,372,54,True,0.0
real,0,374,374,55,True,0.0
real,0,375,375,56,True,0.0
real,0,376,376,57,True,0.0
real,0,377,377,58,True,0.0
real,0,379,379,59,True,0.0
real,0,380,380,60,True,0.0
real,0,381,381,61,True,0.0
real,0,382,382,62,True,0.0
real,0,383,383,63,True,0.0
real,0,385,385,64,True,0.0
real,0,386,386,65,True,0.0
real,0,388,388,66,True,0.0
real,0,389,389,67,True,0.0
real,0,390,390,68,True,0.0
real,0,391,391,69,True,0.0
real,0,392,392,70,True,0.0
real,0,393,393,71,True,0.0
real,0,395,395,72,True,0.0
real,0,397,397,73,True,0.0
real,0,400,400,74,True,0.0
real,0,401,401,75,True,0.0
real,0,402,402,76,True,0.0
real,0,403,403,77,True,0.0
real,0,404,404,78,True,0.0
real,0,406,406,79,True,0.0
real,0,409,409,80,True,0.0
real,0,412,412,81,True,0.0
real,0,413,413,82,True,0.0
real,0,414,414,83,True,0.0
real,0,415,415,84,True,0.0
real,0,416,416,85,True,0.0
real,0,417,417,86,True,0.0
real,0,418,418,87,True,0.0
real,0,419,419,88,True,0.0
real,0,420,420,89,True,0.0
real,0,422,422,90,True,0.0
real,0,423,423,91,True,0.0
real,0,425,425,92,True,0.0
real,0,426,426,93,True,0.0
real,0,427,427,94,True,0.0
real,0,428,428,95,True,0.0
real,0,429,429,96,True,0.0
real,0,430,430,97,True,0.0
real,0,433,433,98,True,0.0
real,0,434,434,99,True,0.0
real,0,436,436,100,True,0.0
real,0,437,437,101,True,0.0
real,0,439,439,102,True,0.0
real,0,440,440,103,True,0.0
real,0,441,441,104,True,0.0
real,0,443,443,105,True,0.0
real,0,444,444,106,True,0.0
real,0,445,445,107,True,0.0
real,0,446,446,108,True,0.0
real,0,447,447,109,True,0.0
real,0,448,448,110,True,0.0
real,0,449,449,111,True,0.0
real,0,451,451,112,True,0.0
real,0,454,454,113,True,0.0
real,0,455,455,114,True,0.0
real,0,456,456,115,True,0.0
real,0,457,457,116,True,0.0
real,0,458,458,117,True,0.0
real,0,459,459,118,True,0.0
real,0,463,463,119,True,0.0
real,0,464,464,120,True,0.0
real,0,468,468,121,True,0.0
real,0,471,471,122,True,0.0
real,0,472,472,123,True,0.0
real,0,473,473,124,True,0.0
real,0,474,474,125,True,0.0
real,0,475,475,126,True,0.0
real,0,476,476,127,True,0.0
real,0,477,477,128,True,0.0
real,0,478,478,129,True,0.0
real,0,479,479,130,True,0.0
real,0,482,482,131,True,0.0
real,0,483,483,132,True,0.0
real,0,484,484,133,True,0.0
real,0,485,485,134,True,0.0
real,0,486,486,135,True,0.0
real,0,487,487,136,True,0.0
real,0,488,488,137,True,0.0
real,0,489,489,138,True,0.0
real,0,490,490,139,True,0.0
real,0,491,491,140,True,0.0
real,0,492,492,141,True,0.0
