representation,repeat,outer_fold,draw,domain_type,participant_id,label,base_probability,enhanced_probability
tfidf,1,1,1,fake,319,1,0.7242866075898717,0.7410060625333162
tfidf,1,1,1,fake,331,0,0.6985481306295116,0.6639094771409298
tfidf,1,1,1,fake,345,1,0.987358694104308,0.9223123721948654
tfidf,1,1,1,fake,346,1,0.9498595416663733,0.856362574845869
tfidf,1,1,1,fake,357,0,0.4499504390126601,0.5849773728782253
tfidf,1,1,1,fake,358,0,0.7839266274408084,0.7342397837183797
tfidf,1,1,1,fake,362,1,0.7991200490067029,0.819388065699577
tfidf,1,1,1,fake,363,0,0.1816218800950862,0.33103999625004343
tfidf,1,1,1,fake,364,0,0.4132698206447659,0.5698991469243772
tfidf,1,1,1,fake,369,0,0.28518430606631107,0.36905316756359385
tfidf,1,1,1,fake,372,1,0.770562291033749,0.8019653894660947
tfidf,1,1,1,fake,391,0,0.6752857188608455,0.5308710472283786
tfidf,1,1,1,fake,400,0,0.657105502595238,0.594745677040833
tfidf,1,1,1,fake,402,1,0.9577096592713655,0.7762992913279158
tfidf,1,1,1,fake,403,0,0.019005276078183204,0.11723076675118889
tfidf,1,1,1,fake,404,0,0.0746959012420594,0.2947295986885188
tfidf,1,1,1,fake,413,1,0.6463441373550385,0.6446659961592722
tfidf,1,1,1,fake,416,0,0.07776050123956088,0.2111073720771271
tfidf,1,1,1,fake,420,0,0.23282345564014673,0.3180071391730678
tfidf,1,1,1,fake,423,0,0.9707271194684611,0.8280749840993518
tfidf,1,1,1,fake,426,1,0.46238222158049186,0.5637889793683133
tfidf,1,1,1,fake,433,1,0.2879689885576473,0.2995325219034589
tfidf,1,1,1,fake,451,0,0.2439289628225977,0.40337135740529495
tfidf,1,1,1,fake,454,0,0.0629919906597963,0.2036691255888861
tfidf,1,1,1,fake,473,0,0.0630424622089588,0.1651900291078764
tfidf,1,1,1,fake,476,0,0.1329116472151391,0.2346460210343337
tfidf,1,1,1,fake,484,0,0.3242027506785352,0.4802478622547018
tfidf,1,1,1,fake,487,0,0.2489042067812516,0.3591235397604608
tfidf,1,1,1,fake,490,0,0.20329405803026532,0.32798980307214864
tfidf,1,2,1,fake,303,0,0.0788274809212805,0.07915500049884854
tfidf,1,2,1,fake,304,0,0.08271131923132127,0.07782946948365302
tfidf,1,2,1,fake,310,0,0.4195240440108333,0.3881007820733649
tfidf,1,2,1,fake,312,0,0.42300956841218035,0.401088182005486
tfidf,1,2,1,fake,316,0,0.7486872910281406,0.7443819818635686
tfidf,1,2,1,fake,324,0,0.3597273382957492,0.36863881133498566
tfidf,1,2,1,fake,328,0,0.5361756194250112,0.521993827344215
tfidf,1,2,1,fake,339,1,0.6892561266681014,0.6907652076103213
tfidf,1,2,1,fake,353,1,0.7985002234817001,0.7981320815939908
tfidf,1,2,1,fake,355,1,0.4164591669521751,0.43128387382738126
tfidf,1,2,1,fake,366,0,0.01744376973428819,0.015637532920018488
tfidf,1,2,1,fake,375,0,0.0052203947411467,0.004638180657754264
tfidf,1,2,1,fake,376,1,0.9944255928929798,0.9949380109483841
tfidf,1,2,1,fake,379,0,0.44406647987296943,0.43319148024040444
tfidf,1,2,1,fake,381,1,0.9983191267735183,0.9985866626520723
tfidf,1,2,1,fake,382,0,0.25206100549747545,0.22706405761760992
tfidf,1,2,1,fake,386,1,0.7852322072674276,0.7833723079333728
tfidf,1,2,1,fake,390,0,0.9759177428523887,0.9774971116893333
tfidf,1,2,1,fake,392,0,0.10660279319410432,0.10399716110616308
tfidf,1,2,1,fake,401,0,0.6524228459044369,0.6486991810851149
tfidf,1,2,1,fake,412,1,0.6672739430350457,0.6678529367965088
tfidf,1,2,1,fake,422,1,0.5954714699234681,0.5853429039271968
tfidf,1,2,1,fake,427,0,0.025034352228577812,0.022245583001742952
tfidf,1,2,1,fake,440,1,0.9357496239752758,0.9365573401965358
tfidf,1,2,1,fake,443,0,0.29832220880774846,0.29131127199516776
tfidf,1,2,1,fake,457,0,0.009860275007183129,0.009026848264738013
tfidf,1,2,1,fake,479,0,0.00921840764499526,0.008401905188307543
tfidf,1,2,1,fake,482,0,0.1836396771487499,0.1707112041263457
tfidf,1,2,1,fake,486,0,0.0045563812798101655,0.004413086923786162
tfidf,1,3,1,fake,305,0,0.650367727720895,0.6534372575396089
tfidf,1,3,1,fake,307,0,0.44512292215037325,0.4227637096749761
tfidf,1,3,1,fake,313,0,0.5818566941444119,0.5804552699846844
tfidf,1,3,1,fake,315,0,0.6189325092482572,0.5872751783926662
tfidf,1,3,1,fake,317,0,0.6528133992002931,0.6761154381573373
tfidf,1,3,1,fake,320,1,0.7521377543542983,0.7732518909714823
tfidf,1,3,1,fake,338,1,0.5757399616048703,0.6054921015238954
tfidf,1,3,1,fake,344,1,0.5305879529243457,0.5498342264749967
tfidf,1,3,1,fake,352,1,0.7010383353382595,0.6783443832047169
tfidf,1,3,1,fake,356,1,0.6336575711186135,0.6531381034390265
tfidf,1,3,1,fake,367,1,0.9522176293737635,0.9535470955045906
tfidf,1,3,1,fake,371,0,0.4404178468491783,0.4486389723164137
tfidf,1,3,1,fake,380,1,0.8217645708663116,0.8070264659754316
tfidf,1,3,1,fake,383,0,0.40595475396786557,0.3989717443204329
tfidf,1,3,1,fake,393,0,0.2415969829440341,0.24072474955617226
tfidf,1,3,1,fake,395,0,0.41697843960508113,0.43322957734332534
tfidf,1,3,1,fake,397,0,0.2664381410363879,0.26803097067109877
tfidf,1,3,1,fake,425,0,0.6267135395275897,0.6368778815932943
tfidf,1,3,1,fake,430,0,0.44048008124386256,0.4373817578870049
tfidf,1,3,1,fake,436,0,0.1588124355735102,0.1533650723372827
tfidf,1,3,1,fake,439,0,0.3347409982233098,0.3354734078498491
tfidf,1,3,1,fake,446,0,0.2550863088742971,0.25741187535159976
tfidf,1,3,1,fake,447,0,0.3255612891282067,0.32497761233453215
tfidf,1,3,1,fake,459,1,0.816416526477882,0.819112319875287
tfidf,1,3,1,fake,474,0,0.250204085810322,0.23788208370355998
tfidf,1,3,1,fake,475,0,0.15872575565171512,0.15458506237960515
tfidf,1,3,1,fake,489,0,0.32810614036397506,0.3233294798603168
tfidf,1,3,1,fake,491,0,0.42313878225210755,0.4275833794080505
tfidf,1,4,1,fake,318,0,0.43066464601457866,0.24787341869440596
tfidf,1,4,1,fake,322,0,0.7214391730024966,0.760794989997849
tfidf,1,4,1,fake,326,0,0.2333401364525824,0.1334099426195329
tfidf,1,4,1,fake,327,0,0.6951577401649318,0.6691427006873382
tfidf,1,4,1,fake,335,1,0.22426283676175676,0.18396841172004957
tfidf,1,4,1,fake,343,0,0.7193641054818418,0.7214675024069995
tfidf,1,4,1,fake,347,1,0.7935574056865753,0.8108470128950566
tfidf,1,4,1,fake,351,1,0.8919005338536686,0.923581121476157
tfidf,1,4,1,fake,374,0,0.25346149183522027,0.2521038184636402
tfidf,1,4,1,fake,377,1,0.99272384193549,0.9956190230079014
tfidf,1,4,1,fake,389,1,0.8198689544787385,0.8343651925785487
tfidf,1,4,1,fake,414,1,0.3087342478003672,0.2422881568791147
tfidf,1,4,1,fake,415,0,0.13002519584463945,0.12135910112968243
tfidf,1,4,1,fake,419,0,0.00870573669600242,0.0061823063458109765
tfidf,1,4,1,fake,445,0,0.2437649281904437,0.27484352316975874
tfidf,1,4,1,fake,448,1,0.4903868004953367,0.4484708559992968
tfidf,1,4,1,fake,449,0,0.17846557859305154,0.15176571045219614
tfidf,1,4,1,fake,455,0,0.0432922168673442,0.04192540854788543
tfidf,1,4,1,fake,458,0,0.11889856012072629,0.1501013717619589
tfidf,1,4,1,fake,463,0,0.008501091004824882,0.0050251180143529965
tfidf,1,4,1,fake,464,0,0.16297980793194844,0.1365528048622098
tfidf,1,4,1,fake,471,0,0.12971752728960648,0.0804150236791846
tfidf,1,4,1,fake,472,0,0.017735934649286092,0.01493846418566116
tfidf,1,4,1,fake,477,0,0.40754659240229485,0.44983303929209273
tfidf,1,4,1,fake,478,0,0.7869395710218465,0.8165861568536488
tfidf,1,4,1,fake,483,1,0.9603947037126954,0.94127450635293
tfidf,1,4,1,fake,488,0,0.40441162043289036,0.2986029233943006
tfidf,1,4,1,fake,492,0,0.05467960659237534,0.061268223721352995
tfidf,1,5,1,fake,302,0,0.04752976376398324,0.04700920209942493
tfidf,1,5,1,fake,321,1,0.987701651797378,0.9875586543261595
tfidf,1,5,1,fake,325,1,0.7255665793138876,0.7299317529250631
tfidf,1,5,1,fake,330,1,0.6537275138917045,0.6489967301933631
tfidf,1,5,1,fake,333,0,0.8916303114760898,0.891503481560754
tfidf,1,5,1,fake,336,0,0.4384568151352054,0.44527036221878247
tfidf,1,5,1,fake,340,0,0.32185579327437547,0.32435490170944054
tfidf,1,5,1,fake,341,0,0.27373784808523643,0.2734125395856391
tfidf,1,5,1,fake,348,1,0.9038310258478526,0.905076184399294
tfidf,1,5,1,fake,350,1,0.6600180332230412,0.6511921679627407
tfidf,1,5,1,fake,360,0,0.5635894140916288,0.5632383750061163
tfidf,1,5,1,fake,368,0,0.14186101192045042,0.14187678620757876
tfidf,1,5,1,fake,370,0,0.09752846193757556,0.095302962988599
tfidf,1,5,1,fake,385,0,0.598712564876677,0.6036159352455661
tfidf,1,5,1,fake,388,1,0.5734969198592359,0.5726405424831033
tfidf,1,5,1,fake,406,0,0.0359426049856146,0.036214643151314875
tfidf,1,5,1,fake,409,1,0.674461162907455,0.6704150884936202
tfidf,1,5,1,fake,417,0,0.1542772049491527,0.15816421275709489
tfidf,1,5,1,fake,418,1,0.919980786689895,0.9176613481088092
tfidf,1,5,1,fake,428,0,0.07579726946299466,0.0758330946245541
tfidf,1,5,1,fake,429,0,0.09047172853378123,0.08919147949221895
tfidf,1,5,1,fake,434,0,0.03689880012272792,0.03859707970965779
tfidf,1,5,1,fake,437,0,0.04494423367586416,0.04504941553294821
tfidf,1,5,1,fake,441,1,0.7934920153207959,0.7877508783620512
tfidf,1,5,1,fake,444,0,0.14328746147417004,0.1416473038163224
tfidf,1,5,1,fake,456,0,0.014772092658435872,0.014675312247009839
tfidf,1,5,1,fake,468,0,0.15646596539333535,0.16188855001566432
tfidf,1,5,1,fake,485,0,0.014560066790311639,0.014897196603227117
tfidf,1,1,2,fake,319,1,0.9557672778416774,0.9683716584382842
tfidf,1,1,2,fake,331,0,0.42463693824844867,0.5083963014003973
tfidf,1,1,2,fake,345,1,0.787621515127311,0.8426975935416586
tfidf,1,1,2,fake,346,1,0.9010514409797384,0.9114040729649983
tfidf,1,1,2,fake,357,0,0.4121239051089235,0.442802565354696
tfidf,1,1,2,fake,358,0,0.8420888270821728,0.8890317658313438
tfidf,1,1,2,fake,362,1,0.9991904909795281,0.999334016819302
tfidf,1,1,2,fake,363,0,0.08626517896727154,0.08575835711330106
tfidf,1,1,2,fake,364,0,0.4857798259471364,0.5718850627490866
tfidf,1,1,2,fake,369,0,0.3334961935111977,0.30174850739122183
tfidf,1,1,2,fake,372,1,0.6661399475054355,0.6807930838368393
tfidf,1,1,2,fake,391,0,0.5640198183696622,0.630661372535165
tfidf,1,1,2,fake,400,0,0.32214583611072345,0.31571836586372065
tfidf,1,1,2,fake,402,1,0.9960693004370237,0.9963730394672471
tfidf,1,1,2,fake,403,0,0.019583188363951308,0.01651848190024096
tfidf,1,1,2,fake,404,0,0.07049188347925575,0.09916581245523455
tfidf,1,1,2,fake,413,1,0.6427735452495966,0.6961807476492877
tfidf,1,1,2,fake,416,0,0.07416390464880905,0.07477006203170572
tfidf,1,1,2,fake,420,0,0.2137775106479745,0.1683205164082565
tfidf,1,1,2,fake,423,0,0.81384529207672,0.8585701465318798
