representation,repeat,subset,r2,mae,rmse,spearman_rho,mse_improvement,target_mse,null_mse,interpretation_scope
bge,1,D,0.1165481796455412,0.4487909524580594,0.5606065814922784,0.47515614833095904,0.1165481796455412,0.3142797392124585,0.355740666295037,statistical_score_recoverability
bge,1,P,0.13138583724881625,0.45388899960737916,0.5558789265752136,0.314530240511661,0.13138583724881625,0.3090013810104118,0.355740666295037,statistical_score_recoverability
bge,1,P+D,0.1425225505940192,0.44421453155792,0.5523039011130126,0.48719904608427234,0.1425225505940192,0.30503959918465245,0.355740666295037,statistical_score_recoverability
bge,1,P+Q,0.15568349437308282,0.4482028267654317,0.5480490090088813,0.3803110284980228,0.15568349437308282,0.30035771627561686,0.355740666295037,statistical_score_recoverability
bge,1,P+Q+D,0.193779695203517,0.4285077849285982,0.5355421070363082,0.48824684455490575,0.193779695203517,0.28680534840888866,0.355740666295037,statistical_score_recoverability
bge,1,P+Q+R,0.41543445847947613,0.36466515633145846,0.45601944611346373,0.6627974961807747,0.41543445847947613,0.20795373523363025,0.355740666295037,statistical_score_recoverability
bge,1,P+Q+R+D,0.42355752230287314,0.35822059981227466,0.4528399619034719,0.6674120006454438,0.42355752230287314,0.2050640310967379,0.355740666295037,statistical_score_recoverability
bge,1,P+R,0.4189890203249146,0.36396624061729577,0.45463087558407983,0.6632124243751455,0.4189890203249146,0.20668923303434708,0.355740666295037,statistical_score_recoverability
bge,1,P+R+D,0.4250033684293931,0.35762025281382104,0.4522716936005719,0.6701320854752081,0.4250033684293931,0.2045496848323296,0.355740666295037,statistical_score_recoverability
bge,1,Q,0.10967759019588719,0.44761558730790985,0.5627822734247393,0.3895274638457138,0.10967759019588719,0.31672388728111806,0.355740666295037,statistical_score_recoverability
bge,1,Q+D,0.17815474359184336,0.426121835641687,0.5407067403926579,0.5138215096261246,0.17815474359184336,0.29236377910605316,0.355740666295037,statistical_score_recoverability
bge,1,Q+R,0.38553881370409304,0.372211741068195,0.4675348455734019,0.6618544775572046,0.38553881370409304,0.21858883182534478,0.355740666295037,statistical_score_recoverability
bge,1,Q+R+D,0.3982041631399943,0.3641393449331879,0.4626913139212339,0.667671854666161,0.3982041631399943,0.2140832519781578,0.355740666295037,statistical_score_recoverability
bge,1,R,0.38954667170242463,0.3714414248775523,0.4660075897993534,0.6626717603642986,0.38954667170242463,0.21716307375060243,0.355740666295037,statistical_score_recoverability
bge,1,R+D,0.40120853759386343,0.36311304317406445,0.4615349107143885,0.6717289303444534,0.40120853759386343,0.2130144738081386,0.355740666295037,statistical_score_recoverability
bge,1,null,0.0,0.482831305527059,0.5964399938761962,0.12206753298330364,0.0,0.355740666295037,0.355740666295037,statistical_score_recoverability
bge,2,D,0.06174751643246468,0.3930157315293094,0.5030789664420025,0.4103266934276929,0.06174751643246468,0.2530884464763535,0.2697444993846757,statistical_score_recoverability
bge,2,P,0.05790883392401369,0.3927762439220494,0.5041070421724857,0.3052048341230241,0.05790883392401369,0.2541239099678923,0.2697444993846757,statistical_score_recoverability
bge,2,P+D,0.07874014483331548,0.38998183114129104,0.4985025360368151,0.3623391891297196,0.07874014483331548,0.24850477843513616,0.2697444993846757,statistical_score_recoverability
bge,2,P+Q,0.11771294565719026,0.37238784213289366,0.48784431921185817,0.4918764184571796,0.11771294565719026,0.23799207978728137,0.2697444993846757,statistical_score_recoverability
bge,2,P+Q+D,0.12975187732635252,0.37672343018484067,0.48450453474767075,0.5100117143869017,0.12975187732635252,0.2347446441910569,0.2697444993846757,statistical_score_recoverability
bge,2,P+Q+R,0.2950270364134908,0.33942846275349337,0.43607634554327085,0.6365438577005854,0.2950270364134908,0.19016257914237414,0.2697444993846757,statistical_score_recoverability
bge,2,P+Q+R+D,0.28449901416452306,0.34185748857972437,0.43932044709236184,0.6213675446519319,0.28449901416452306,0.19300245523343268,0.2697444993846757,statistical_score_recoverability
bge,2,P+R,0.29883689266982094,0.33837926402646173,0.4348964145331423,0.6336854634726976,0.29883689266982094,0.18913489137378278,0.2697444993846757,statistical_score_recoverability
bge,2,P+R+D,0.2854641529457461,0.34064532393747693,0.43902404758288005,0.6230733605621229,0.2854641529457461,0.19274211435605493,0.2697444993846757,statistical_score_recoverability
bge,2,Q,0.1116948422031735,0.36854380739188564,0.48950529117746044,0.5136370970952931,0.1116948422031735,0.23961543009073033,0.2697444993846757,statistical_score_recoverability
bge,2,Q+D,0.12237622361803036,0.37565033411679494,0.48655337447010166,0.5381471989203485,0.12237622361803036,0.236734186208243,0.2697444993846757,statistical_score_recoverability
bge,2,Q+R,0.3017820184357911,0.3370925288605618,0.4339820962878725,0.6375665090079236,0.3017820184357911,0.18834045989841625,0.2697444993846757,statistical_score_recoverability
bge,2,Q+R+D,0.2907927652554,0.34011511411954054,0.43738398518484,0.6237649075527409,0.2907927652554,0.19130475049617232,0.2697444993846757,statistical_score_recoverability
bge,2,R,0.30571449304282716,0.33556156647288216,0.43275824256066847,0.6411625533591372,0.30571449304282716,0.18727969650419837,0.2697444993846757,statistical_score_recoverability
bge,2,R+D,0.2918827673402713,0.3385920448808685,0.437047741590619,0.6280399253129251,0.2918827673402713,0.19101072842946046,0.2697444993846757,statistical_score_recoverability
bge,2,null,0.0,0.3934449074385418,0.5193693284982044,0.30552280327999154,0.0,0.2697444993846757,0.2697444993846757,statistical_score_recoverability
bge,3,D,0.008995788195025667,0.3709930931988305,0.4916151003092627,0.13310826598608916,0.008995788195025667,0.24168540685208645,0.2438792933199452,statistical_score_recoverability
bge,3,P,0.024054226835927284,0.34492653995228423,0.48786572484428703,0.030467883929076622,0.024054226835927284,0.2380129654778416,0.2438792933199452,statistical_score_recoverability
bge,3,P+D,-0.061724140440756026,0.3833318282566144,0.5088541373236714,-0.002835342661533852,-0.061724140440756026,0.25893253307141784,0.2438792933199452,statistical_score_recoverability
bge,3,P+Q,0.000842224443748707,0.37811093484327246,0.49363335808855846,0.2170807915488767,0.000842224443748707,0.24367389221778699,0.2438792933199452,statistical_score_recoverability
bge,3,P+Q+D,-0.020192686236822688,0.37465808427458186,0.49880243721298406,0.11784589399213315,-0.020192686236822688,0.2488038713696129,0.2438792933199452,statistical_score_recoverability
