participant_id,label,representation,repeat,outer_fold,subset,interviewer_within,participant_within,predicted_interviewer_within,label_conditioned_null_prediction,outer_train_class_mean_I,outer_train_class_mean_P,class_mean_training_n,outer_test_mean_source_excludes_test,prediction_scope,selected_alpha
302,0,bge,1,5,D,-0.20596712847193574,0.025556562313845028,0.01620078990142652,0.0001060786089336459,-0.11524584104812766,-0.026272516461154295,80,True,outer_test,100.0
303,0,bge,1,2,D,1.1676693647677454,-0.12407418334561204,-0.0771450602931306,-0.002459370579989202,-0.37407178210768555,-0.15990929597179582,79,True,outer_test,100.0
304,0,bge,1,2,D,-0.20717132007355699,-0.8908536009357322,-0.05628350526712098,-0.002459370579989202,-0.37407178210768555,-0.15990929597179582,79,True,outer_test,100.0
305,0,bge,1,3,D,0.5714847786212763,0.698606491702559,0.06601466246747412,8.706594035606954e-05,-0.16999739592245292,-0.017424244253755956,79,True,outer_test,100.0
307,0,bge,1,3,D,-0.7166244158120253,-0.08715760135165766,0.07760596252938605,8.706594035606954e-05,-0.16999739592245292,-0.017424244253755956,79,True,outer_test,100.0
310,0,bge,1,2,D,0.5404236672057499,-0.15680599075266455,0.01549474076059917,-0.002459370579989202,-0.37407178210768555,-0.15990929597179582,79,True,outer_test,100.0
312,0,bge,1,2,D,0.4077312715476378,0.386220931129561,-0.008240899154265856,-0.002459370579989202,-0.37407178210768555,-0.15990929597179582,79,True,outer_test,100.0
313,0,bge,1,3,D,1.0389291843915158,0.5764711677111083,0.0367291154663138,8.706594035606954e-05,-0.16999739592245292,-0.017424244253755956,79,True,outer_test,100.0
315,0,bge,1,3,D,0.12089950066575109,-0.5541871752243167,-0.055230507123901845,8.706594035606954e-05,-0.16999739592245292,-0.017424244253755956,79,True,outer_test,100.0
316,0,bge,1,2,D,0.3093830998034137,-0.22431449839891454,-0.01594076673469441,-0.002459370579989202,-0.37407178210768555,-0.15990929597179582,79,True,outer_test,100.0
317,0,bge,1,3,D,0.23858178248557996,0.5981154561731021,0.03179900022563805,8.706594035606954e-05,-0.16999739592245292,-0.017424244253755956,79,True,outer_test,100.0
318,0,bge,1,4,D,-0.4022309631710966,0.2092444803911663,-0.04220362996802244,-0.0004912443026948588,-0.2363359668711577,-0.21133506620335535,79,True,outer_test,100.0
319,1,bge,1,1,D,1.3133535828386083,-0.014802286410901255,0.03113866510679094,0.000378999501349503,0.08721248007211738,-0.04461648285512175,34,True,outer_test,100.0
320,1,bge,1,3,D,1.1106882214648814,1.4908470823634903,0.005094803205926651,8.706594035606954e-05,0.1439032518687135,0.011817033542706027,35,True,outer_test,100.0
