representation,repeat,outer_fold,subset,n_participants,outer_train_target_scale_mean,outer_train_target_scale_sd,outer_train_participant_scale_mean,outer_train_participant_scale_sd,raw_r2,raw_mae,raw_rmse,raw_spearman_rho,raw_mse_improvement,raw_target_mse,raw_null_mse,outer_train_standardized_r2,outer_train_standardized_mae,outer_train_standardized_rmse,outer_train_standardized_spearman_rho,outer_train_standardized_mse_improvement,outer_train_standardized_target_mse,outer_train_standardized_null_mse,standardization_scope,interpretation_scope
bge,1,1,D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.1290217373793523,0.48779161041430613,0.5935518236070013,0.5044334975369457,0.1290217373793523,0.35230376730719687,0.40449203203667305,0.1290217373793524,1.2500791800842281,1.521114265089413,0.5044334975369457,0.1290217373793524,2.313788607458505,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.010553277546156203,0.5422980684325956,0.6326320536910703,0.31576354679802954,0.010553277546156203,0.4002233153573813,0.40449203203667305,0.010553277546156092,1.3897646254548983,1.621266422153989,0.31576354679802954,0.010553277546156092,2.6285048116039964,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.12682334702571418,0.48963147166971377,0.594300427972713,0.4901477832512314,0.12682334702571418,0.35319299868854975,0.40449203203667305,0.12682334702571363,1.2547942514395456,1.523032737469251,0.4901477832512314,0.12682334702571363,2.31962871940308,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+Q,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.036915766694743835,0.5328598874383101,0.6241473372146391,-0.02364532019704433,0.036915766694743835,0.38955989855212436,0.40449203203667305,0.03691576669474361,1.3655770967911685,1.5995223675420296,-0.02364532019704433,0.03691576669474361,2.5584718042672594,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+Q+D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.1473184215432104,0.486856760531224,0.5872843471013208,0.42955665024630535,0.1473184215432104,0.3449029043502247,0.40449203203667305,0.14731842154321007,1.2476834103530665,1.5050524023510121,0.42955665024630535,0.14731842154321007,2.2651827338225528,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+Q+R,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.472950913935663,0.3903668889012403,0.4617219464193088,0.7916256157635466,0.472950913935663,0.21318715580523506,0.40449203203667305,0.4729509139356627,1.000405726525758,1.1832696173607982,0.7916256157635466,0.4729509139356627,1.4001269873691695,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+Q+R+D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.5022998996880043,0.37601837349310385,0.4486822092751786,0.8142857142857142,0.5022998996880043,0.20131572492005517,0.40449203203667305,0.5022998996880043,0.9636343266207974,1.1498522654227374,0.8142857142857142,0.5022998996880043,1.3221602322978014,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+R,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.4657889398490853,0.39530964573201416,0.4648484884958849,0.7901477832512314,0.4657889398490853,0.21608411725690885,0.40449203203667305,0.4657889398490852,1.0130726877330685,1.1912821068586503,0.7901477832512314,0.4657889398490852,1.4191530581215848,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,P+R+D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.49010902692155367,0.3816250108823584,0.454144069451157,0.8093596059113298,0.49010902692155367,0.2062468358176573,0.40449203203667305,0.49010902692155345,0.9780026357941268,1.1638495493955445,0.8093596059113298,0.49010902692155345,1.3545457736282118,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,Q,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.033120705091997604,0.5327718957749854,0.6253758635664823,-0.02758620689655172,0.033120705091997604,0.39109497073152355,0.40449203203667305,0.033120705091997826,1.365351597737895,1.6026707513638003,-0.02758620689655172,0.033120705091997826,2.5685535372770083,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,Q+D,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.14911932827656615,0.48507285579562415,0.5866638321271741,0.4236453201970442,0.14911932827656615,0.3441744519261411,0.40449203203667305,0.14911932827656615,1.2431117405629015,1.5034621887566195,0.4236453201970442,0.14911932827656615,2.260398553020845,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
bge,1,1,Q+R,29,-0.12634962280713186,0.3902085709334345,-0.11078338131942189,0.3920454585752093,0.4736808660046601,0.38998229482402025,0.46140209796830906,0.7916256157635466,0.4736808660046601,0.21289189600955705,0.40449203203667305,0.47368086600466,0.9994201149685848,1.1824499314932255,0.7916256157635466,0.47368086600466,1.3981878404883337,2.6565400157021712,outer_training_source_scores_only,recoverability_fold_scale_sensitivity
