blind_id,line_number,participant_text_line
V001,1,<sync>
V001,2,yeah i'm totally fine it be confidential or not you know my words <wo> my words are everybody's get wild <laughter>
V001,3,i'm doing pretty good hanging out nice weather um i just had a recent change of feeling just now looking at you <laughter> the the digitial you that i'm saying uh i don't know it's yeah it's funny
V001,4,um <tisk> because i just always thought that uh the conveying of emotions or feelings uh
V001,5,be like better understood with a human interaction as opposed to a non human entity such as yourself
V001,6,yeah
V001,7,i
V001,8,i think you see what i mean <laughter> i'm from um born and raised in los angeles venice area mar vista specifically um
V001,9,that's where i'm from
V001,10,um well
V001,11,there's a lot more that i don't like but what i do like is
V001,12,that public transportation is coming up uh
V001,13,that the idea of
V001,14,certain you know medical drugs like marijuana is a prevalent you know topic very
V001,15,thought upon and i feel
V001,16,that los angeles' deep culture is um why i stay here and pursue my art because there's a lot to
V001,17,there's a lot to gain from the different communities if you understand <laughter> yeah
V001,18,um
V001,19,well the
V001,20,the human mentality here is um
V001,21,is very very hectic very chaotic
V001,22,you know a lot due to
V001,23,the vehicle the car the freeway
V001,24,and this idea that we're on
V001,25,a grind you know this
V001,26,yeah it's it's a very
V001,27,it's it's very hectic um
V001,28,atmosphere human atmosphere that
V001,29,is not very conducive for a
V001,30,supporting loving community to help each other out kind of thing
V001,31,yeah
V001,32,well i can't see your shoes <laughter> but um i love to travel i do love hiking i do love surfing swimming biking riding taking rides uh <laughter> i do love to travel yeah
V001,33,um
V001,34,from my travels it's not like
V001,35,well i do enjoy a lot of things about travel but
V001,36,it's more like what do i
V001,37,it's it's just more like i i enjoy not being
V001,38,uh trapped in the city with all these uh
V001,39,made up ties and restraints i enjoy
V001,40,traveling because
V001,41,i get to see the world as it really is instead of this uh faux image
V001,42,you know man <ma> man made image that it is here
V001,43,so i love traveling because i get to get out of this and see the world as it is
V001,44,thanks <laughter>
V001,45,would you
V001,46,<laughter> okay <laughter> um
V001,47,well i um
V001,48,kind of recently last year went to
V001,49,los banos central california area
V001,50,and although it wasn't that far from l_a it was completely different energy um there was no phones
V001,51,there was no wifi there's no t_v
V001,52,there was um
V001,53,there was sanity there was a relative sanity
V001,54,in the sense that um
V001,55,people weren't diluted and getting all of this input from digital media and
V001,56,outer influence people were just raw real and hiking and chilling I was working at a hot spring resort
V001,57,and i just got to breath and hike
V001,58,and farm and do a lot of carpentry
V001,59,yeah
V001,60,um not hard you don't you don't even think about difficulty when you're doing things you truly love and enjoy so it wasn't
V001,61,um
V001,62,i guess uh kind of what i described about the city i just wanted to uh
V001,63,get out of here and
V001,64,kind of
V001,65,kind of just get out of here really and just experience the real the real deal yeah
V001,66,um well
V001,67,currently i'm studying um
V001,68,currently i'm studying physical therapy i'm about to become a licensed massage therapist but before that yeah kind of cool but before that i was going to
V001,69,scrubbed_entry
V001,70,um for music composition so i was just writing scores for
V001,71,films animations dance productions theater productions
V001,72,stuff like that yeah it was it was cool it was fun trippy
V001,73,very trippy um but it was cool but i had to leave that because
V001,74,tuition hikes
V001,75,up to you know going up to like fifty thousand a year for like a four year b_f_a
V001,76,is uh not not the deal not trying to
V001,77,trap myself with these uh chains of federal loans
V001,78,so yeah
V001,79,hey that's not a good word sucks <laughter>
V001,80,um dream job hm
V001,81,my dream job would be
V001,82,anything <exhale> that i can do to
V001,83,alleviate these uh metropolitan
V001,84,like cities from
V001,85,the nightmare that they've been put in my dream is to alleviate the nightmare my dream is to
V001,86,incite dream back within
V001,87,the modern human world
V001,88,and with you know physical therapy and artistic expression
V001,89,i've got some
V001,90,great ideas <laughter> yeah
V001,91,um
V001,92,i guess more outgoing i just like i just like experiencing things so outgoing yeah
V001,93,<laughter> i thought that was really funny um what i do to relax is uh
V001,94,just kind of breath it out chill maybe make a smoothie or some tea and i go bike riding write yeah
V001,95,hmm
V001,96,pretty good i guess i haven't
V001,97,yelled in a long time
V001,98,um
V001,99,well it wasn't arguing i don't i don't really argue much i just like to state my opinion
V001,100,and have it be understood and i like the person that i'm conversing with to say their
V001,101,opinion and have it understood so the last time that happened was
V001,102,uh i guess yesterday chilling in downtown with a friend from new york and we were talking about writing and basically we were not arguing but talking about opinions and that sometimes
V001,103,things are not ready to be written
V001,104,yeah so yesterday
V001,105,hm
V001,106,guilty
V001,107,that's tough i haven't had that feeling in a long time guilt
V001,108,what about you what's something you feel guilty about
V001,109,<laughter>
V001,110,okay
V001,111,mm
V001,112,i don't really wish i could erase anything from my memory 'cause then that would just
V001,113,be like
V001,114,i would feel something was lacking from my current present life if
V001,115,something just got erased you know butterfly effect kind of like yeah
V001,116,hmm
V001,117,um maybe the time
V001,118,scrubbed_entry
V001,119,um she was going to school i was taking the year off and i was just
V001,120,kind of hanging around um but we had an apartment together with another friend
V001,121,and it didn't turn out
V001,122,you know not all
V001,123,nothing turns out as it's thought to be and that's kind of the beautiful thing about it but this one turned out a little
V001,124,uh a little different actually quite different than i thought it would be and
V001,125,i thought it was funny but yeah it ended up uh me leaving before the lease ended and that actually ended up
V001,126,yeah with us separating but that's something i wish uh
V001,127,maybe i handled a little more thoughtfully
V001,128,the hardest decision
V001,129,huh
V001,130,hm maybe maybe not the hardest but a hard decision i had to make was leaving school dropping my uh continuation of achieving being a b_f_a
V001,131,yeah that could've been the hardest
V001,132,um
V001,133,it's just uh i don't
V001,134,i mean of course money money is the motto money's a big issue tution hikes going around the whole nation not a fan of that not a fan of support <s> not a fan of support that
V001,135,but um
V001,136,yeah that's probably one of the biggest reasons why i just don't support these crazy tution hikes going around and um
V001,137,but another reason why i
V001,138,decided to leave i had to make a hard decision to decide to leave was
V001,139,also because um art institute you know um that's a
V001,140,that's a funny idea in itself already and basically i was a musician
V001,141,being taught by a musician
V001,142,to
V001,143,make music
V001,144,and same with you know all the all the dancers or the theatre students you know getting taught dance to to a dancer from a dancer how to dance you know
V001,145,and it's just um
V001,146,yeah it's just not
V001,147,quite as artistic as i thought
V001,148,art would be art <shh> art comes from somewhere uh somewhere sweet and deep and purple and uh not not from out there you know so yeah
V001,149,hm
V001,150,if i
V001,151,if i um
V001,152,it's kind of easy i mean it depends you know if i remember to make some chamomile tea or if i
V001,153,remember to breathe and go through my mantras or
V001,154,remember to do my pre like dream therapy work then i can get into it real nice um
V001,155,but if i just get deluded with all my thought then it takes a long time until i remember to breathe yeah
V001,156,um yeah basically just what i said just breathing or you know if i'm hanging out with friends coming home late and if i get the lucky chance to be uh medicated from you know a nice
V001,157,a nice indica um then it really does you know indica does put me down pretty nice
V001,158,pretty drowsy so a lot of things breathing you know mm you know medical herbs uh
V001,159,like chamomile and cannabis and
V001,160,just uh going just relieving myself of bad bad juju <laughter>
V001,161,mm
V001,162,mm i i guess not if i can't think of something no
V001,163,i've been feeling
V001,164,kind of like kind of like this kind of just cruising on a on a grey line but it's a nice grey it's a really nice hue
V001,165,um some people wouldn't like this but i really like that and it's uh
V001,166,it's stable
V001,167,yeah it's it's comfortable yeah
V001,168,no no i haven't
V001,169,not by a certified um medical professional no but no i haven't <laughter>
V001,170,um
V001,171,yeah i mean i just think like the whole
V001,172,you know like you said p_t_s_d depression and you know other you know mental instabilities i think
V001,173,everybody is depressed i think everybody is overjoyed i think everybody's angry
V001,174,i think everybody's shy everybody's social all at the same time you know it's just
V001,175,different days different you know variants different floats different boats you know different
V001,176,waves different swells um so yeah i think
V001,177,i'm depressed i think i'm really happy i think i'm really angry i think i'm really friendly you know all that but just on different variants different floats
V001,178,really happy
V001,179,um
V001,180,i i mean i feel really happy a lot
V001,181,uh and i feel really sad a lot but really happy was uh i guess
V001,182,maybe this morning when i just biking over here just enjoying the sun enjoying the breeze
V001,183,biking
V001,184,yeah it is <laughter>
V001,185,um well i have a lot of best friends and they describe me all all pretty differently but underlying that same idea
V001,186,that maybe i'm just uh maybe in a nutshell just kind of aquarius i guess
V001,187,well i'm twenty one so twenty years ago <laughter> i would've told myself to keep being a baby uh stay young
V001,188,and don't lose sight you know don't stop listening keep letting things happen don't make them happen
V001,189,be
V001,190,be a beautiful baby that's what i would've told myself or yeah be a beautiful baby
V001,191,mm
V001,192,um
V001,193,well i guess recently what has been shown to me uh through me by me
V001,194,is um my ability to work
V001,195,with others and i'm mainly speaking in an artistic standpoint i've been uh collaborating a lot with
V001,196,artists working on a lot of different um mediums mixed media projects and
V001,197,i'm really comfortable with it and with other peoples and melting our ideas together
V001,198,yeah
V001,199,mm
V001,200,that's a weird question like
