relative_path,bytes,sha256
calibration/calibration_metrics.csv,2376,b871c843aa2c059d562f300ecb90d90d725e3890e80859ac581ba3e07bd99a85
calibration/probability_distributions.csv,4605,ff5c24af4709a93d5106752e8a03f1338787a78fa0a020c9bf91e7b754d835b1
metrics/primary_metrics.csv,3658,c1e212d4fdbc1346625a69abcb334a2901f13796f9d26a1b3ff312ad18919e66
nested_thresholds/selected_thresholds_50folds.csv,192788,d5c855389bb9ed581bb5195070a638dd7ca3aae957da99b1b9c2ffed6643339b
nested_thresholds/threshold_stability_summary.csv,3033,ee65d150020de64378c5535c4ee0ebbcde58440259d2b4751da61eb249546ed3
oof_probs/full_transcript_fold_oof.csv,405132,c3ac8896b14959ad5fc01038edfe9a6c12db85356fddd351f743affa7f6d3b6c
oof_probs/full_transcript_participant_oof.csv,28408,a9644a26c1c39c0a1b8919b050540ff460370c4c59fb82273d8424c29a2dc3a0
oof_probs/interviewer_speech_fold_oof.csv,406561,cf42f0a3b10fae309be1fdfad5ef0716e3c9f7173ed84121628fe1000350e10b
oof_probs/interviewer_speech_participant_oof.csv,28095,bbe5454a76b4d9866349d550fa053f00df7fec27f1954d626298cfd20b0cbbad
oof_probs/non_explicit_interviewer_speech_fold_oof.csv,426517,460eb20e3c8f5517c6fb62316065de523668a9250af74d2c949c2171e17e1eb4
oof_probs/non_explicit_interviewer_speech_participant_oof.csv,28061,b0b9510c22ac121ebe0ceef8428b5b6af6e9210dfab69ff0c955d19dfa3f7714
oof_probs/participant_speech_fold_oof.csv,411240,b503ce2cc868f9093de6072e4e22aec3fcd7cafef7982f59d83765bb3f3f8528
oof_probs/participant_speech_participant_oof.csv,28675,d4caabf704795fcf75f9098615c480da498fc6534e0530843842872325589231
oof_probs/participant_symptom_evidence_fold_oof.csv,425053,b48c1d9f4943019f7695b285e3aa43743378d6b6d94474b47c04045773be8c3c
oof_probs/participant_symptom_evidence_participant_oof.csv,28424,c0c59cb582707cb3a4708ffbc1afeeca93f62f443003d9f9a7159816de231c41
paired_tests/primary_input_source_paired_tests_fdr.csv,6853,c7f7f91e0a13ce16ae991effcbd35bd7a59ce2b7ef9ee344acfeb9881892089b
